player,cnt,hs,acs,adr,rating,fk
TenZ,21,22.428571428571427,206.23809523809524,133.57142857142858,0.9704761904761903,3.3333333333333335
Sacy,30,30.3,192.96666666666667,126.33333333333333,0.9706666666666667,1.6666666666666667
pANcada,30,25.833333333333332,174.8,122.3,0.9616666666666667,0.9
dephh,17,22.41176470588235,152.76470588235293,101.29411764705883,0.776470588235294,1.0
Asuna,26,19.884615384615383,205.3846153846154,133.5,1.0365384615384616,2.3076923076923075
stellar,26,21.0,175.84615384615384,116.26923076923077,0.894230769230769,1.6153846153846154
bang,26,30.03846153846154,186.65384615384616,122.46153846153847,0.981923076923077,1.5769230769230769
Derrek,26,31.46153846153846,177.03846153846155,122.5,0.9565384615384614,1.3461538461538463
Cryocells,26,22.884615384615383,225.65384615384616,145.26923076923077,1.0788461538461538,4.269230769230769
Klaus,41,21.682926829268293,177.8780487804878,111.36585365853658,0.905121951219512,1.8048780487804879
keznit,41,23.390243902439025,248.09756097560975,164.85365853658536,1.106829268292683,3.8048780487804876
DaveeyS,36,26.63888888888889,187.97222222222223,123.11111111111111,1.055277777777778,1.8055555555555556
NagZ,39,21.743589743589745,171.0,116.38461538461539,0.947179487179487,1.5897435897435896
Melser,41,31.317073170731707,186.2439024390244,122.29268292682927,0.9843902439024392,1.6829268292682926
Khalil,33,26.393939393939394,181.36363636363637,121.15151515151516,1.0103030303030305,0.9696969696969697
Mazin,33,27.757575757575758,170.24242424242425,109.75757575757575,0.9378787878787878,1.4848484848484849
Quick,30,26.366666666666667,179.96666666666667,120.8,0.9303333333333332,1.3666666666666667
dgzin,33,27.03030303030303,223.3939393939394,138.57575757575756,0.9993939393939395,5.03030303030303
mwzera,33,20.96969696969697,207.45454545454547,139.27272727272728,0.9860606060606063,1.8484848484848484
Less,59,25.64406779661017,229.22033898305085,152.98305084745763,1.1574576271186439,2.0508474576271185
aspas,59,25.35593220338983,242.47457627118644,155.71186440677965,1.1855932203389832,3.711864406779661
saadhak,59,19.627118644067796,188.42372881355934,123.62711864406779,0.9828813559322032,2.23728813559322
tuyz,59,28.0,165.20338983050848,107.72881355932203,1.0052542372881357,1.1355932203389831
cauanzin,59,24.576271186440678,204.83050847457628,129.4915254237288,1.0666101694915258,2.152542372881356
jzz,24,28.208333333333332,190.70833333333334,120.75,0.9024999999999999,2.375
heat,17,25.823529411764707,204.58823529411765,133.7058823529412,0.9382352941176471,3.2941176470588234
RgLMeister,24,21.958333333333332,181.08333333333334,120.125,0.9504166666666668,1.0416666666666667
murizzz,24,24.875,173.95833333333334,116.66666666666667,0.82875,1.3333333333333333
frz,24,31.25,194.91666666666666,134.125,0.9058333333333333,2.0
BcJ,3,21.333333333333332,186.66666666666666,115.0,1.0433333333333332,1.6666666666666667
C0M,74,22.364864864864863,187.32432432432432,123.67567567567568,1.0449999999999997,1.4864864864864864
jawgemo,74,20.635135135135137,212.56756756756758,139.5,1.0206756756756754,2.418918918918919
Boostio,74,23.66216216216216,204.2027027027027,137.04054054054055,0.9855405405405403,2.4864864864864864
Ethan,74,21.324324324324323,193.90540540540542,123.28378378378379,1.0786486486486486,1.472972972972973
Zellsis,39,18.846153846153847,182.82051282051282,122.25641025641026,1.026666666666667,1.4102564102564104
jakee,39,30.666666666666668,190.76923076923077,124.33333333333333,0.9910256410256408,1.9487179487179487
Xeppaa,39,23.974358974358974,203.64102564102564,132.2051282051282,1.0000000000000002,1.564102564102564
runi,39,27.53846153846154,181.23076923076923,122.41025641025641,1.0064102564102564,1.2564102564102564
leaf,39,23.307692307692307,236.66666666666666,153.02564102564102,1.078717948717949,4.153846153846154
kiNgg,41,29.4390243902439,223.8048780487805,146.17073170731706,1.1751219512195121,2.097560975609756
Mazino,41,23.51219512195122,198.29268292682926,127.17073170731707,0.9841463414634143,2.1707317073170733
Shyy,41,22.21951219512195,184.73170731707316,128.0,0.9912195121951215,1.6829268292682926
nzr,41,19.70731707317073,196.4390243902439,128.5121951219512,1.0897560975609757,1.146341463414634
Tacolilla,41,18.634146341463413,186.8048780487805,120.6829268292683,0.9002439024390245,3.731707317073171
Victor,56,21.607142857142858,221.30357142857142,144.80357142857142,1.0916071428571426,2.8214285714285716
s0m,56,26.089285714285715,203.85714285714286,130.16071428571428,1.1207142857142856,1.7142857142857142
FiNESSE,56,18.964285714285715,171.58928571428572,116.91071428571429,0.9076785714285714,1.6071428571428572
ardiis,56,19.285714285714285,216.125,142.69642857142858,1.044642857142857,3.982142857142857
crashies,56,28.660714285714285,191.08928571428572,125.375,1.07,1.25
Demon1,71,37.056338028169016,225.9718309859155,152.59154929577466,1.126338028169014,3.084507042253521
Marved,22,28.636363636363637,183.63636363636363,123.72727272727273,0.9622727272727274,2.0454545454545454
axeddy,7,25.285714285714285,170.57142857142858,111.57142857142857,0.7857142857142857,1.2857142857142858
TxoziN,7,17.571428571428573,151.85714285714286,110.0,0.8285714285714285,1.8571428571428572
Life,5,23.8,221.0,144.0,0.976,4.6
YHchen,5,18.4,206.6,135.2,1.0639999999999998,2.2
monk,5,20.2,216.6,153.6,0.9880000000000001,1.8
bunt,5,26.4,179.8,110.4,0.834,0.8
hfmi0dzjc9z7,5,26.4,151.4,102.4,0.7380000000000001,1.4
Smoggy,31,32.516129032258064,198.25806451612902,131.51612903225808,1.0051612903225804,1.967741935483871
ZmjjKK,31,19.129032258064516,249.3548387096774,157.2258064516129,1.0687096774193547,4.258064516129032
Haodong,31,28.387096774193548,177.61290322580646,111.61290322580645,0.9519354838709678,1.5806451612903225
nobody,31,29.193548387096776,195.2258064516129,131.74193548387098,0.9748387096774195,1.7741935483870968
CHICHOO,31,24.774193548387096,194.8709677419355,132.0,1.0577419354838706,1.1290322580645162
benjyfishy,3,34.333333333333336,174.66666666666666,115.0,0.8366666666666666,0.6666666666666666
kon4n,3,19.0,180.66666666666666,129.33333333333334,0.88,0.3333333333333333
AAAAY,4,39.25,231.25,148.25,1.1475000000000002,0.25
Lysoar,4,31.5,208.5,134.25,0.915,1.5
Yuicaw,4,30.25,206.75,129.25,0.8925,4.0
nizhaoTZH,4,38.5,137.25,95.0,0.755,1.25
BerLIN,4,40.25,155.75,106.75,0.71,2.5
Biank,11,20.727272727272727,188.45454545454547,124.18181818181819,0.8972727272727272,1.4545454545454546
whzy,11,19.272727272727273,254.27272727272728,159.45454545454547,1.080909090909091,4.363636363636363
rin,11,23.545454545454547,144.9090909090909,90.54545454545455,0.8145454545454546,1.0909090909090908
Yosemite,11,22.636363636363637,207.72727272727272,132.45454545454547,1.050909090909091,2.1818181818181817
Knight,11,27.272727272727273,188.8181818181818,123.0909090909091,0.9054545454545454,1.2727272727272727
